			 Tabela Laliga sezon 2020/2021

Lp.	Klub			 M	W	D	L	G+	G-	P	Spadek

1	 Atletico Madryt	33	22	7	4	60	22	73	0	
2	 Real Madryt		33	21	8	4	56	24	71	0
3	 FC Barcelona		33	22	5	6	77	31	71	0
4	 Sevilla FC		33	22	4	7	49	26	70	0
5	 Real Sociedad		33	14	11	8	51	34	53	0
6	 Real Betis		33	14	8	11	42	45	50	0
7	 Villarreal		33	12	13	8	50	38	49	0
8	 Granada		33	13	6	14	43	54	45	0
9	 Athletic Bilbao	33	10	12	11	43	36	42	0
10	 Celta Vigo		33	10	11	12	44	51	41	0
11	 Osasuna Pampeluna	33	10	10	13	31	39	40	0
12	 Levante		33	9	11	13	38	46	38	0
13	 Cadiz			33	9	10	14	28	49	37	0
14	 Valencia CF		33	8	12	13	41	48	36	0
15	 Getafe			33	8	10	15	26	39	34	0
16	 Deportivo Alaves	33	7	10	16	28	49	31	0
17	 Real Valladolid	33	5	15	13	31	45	30	0
18	 Elche			33	6	12	15	29	49	30	1
19	 SD Huesca		33	5	12	16	31	50	27	1
20	 Eibar			33	4	11	18	23	46	23	1
